store,week,sales,holiday,temperature,fuel_price,cpi,unemployment
1,2010-02-05,1643690.9,False,42.31,2.57,211.1,8.11
1,2010-02-12,1641957.44,True,38.51,2.55,211.24,8.11
1,2010-02-19,1611968.17,False,39.93,2.51,211.29,8.11
1,2010-02-26,1409727.59,False,46.63,2.56,211.32,8.11
1,2010-03-05,1554806.68,False,46.5,2.62,211.35,8.11
1,2010-03-12,1439541.59,False,57.79,2.67,211.38,8.11
1,2010-03-19,1472515.79,False,54.58,2.72,211.22,8.11
1,2010-03-26,1404429.92,False,51.45,2.73,211.02,8.11
1,2010-04-02,1594968.28,False,62.27,2.72,210.82,7.81
1,2010-04-09,1545418.53,False,65.86,2.77,210.62,7.81
1,2010-04-16,1466058.28,False,66.32,2.81,210.49,7.81
1,2010-04-23,1391256.12,False,64.84,2.8,210.44,7.81
1,2010-04-30,1425100.71,False,67.41,2.78,210.39,7.81
1,2010-05-07,1603955.12,False,72.55,2.84,210.34,7.81
1,2010-05-14,1494251.5,False,74.78,2.85,210.34,7.81
1,2010-05-21,1399662.07,False,76.44,2.83,210.62,7.81
1,2010-05-28,1432069.95,False,80.44,2.76,210.9,7.81
1,2010-06-04,1615524.71,False,80.69,2.7,211.18,7.81
1,2010-06-11,1542561.09,False,80.43,2.67,211.46,7.81
1,2010-06-18,1503284.06,False,84.11,2.64,211.45,7.81
1,2010-06-25,1422711.6,False,84.34,2.65,211.34,7.81
1,2010-07-02,1492418.14,False,80.91,2.67,211.22,7.79
1,2010-07-09,1546074.18,False,80.48,2.64,211.11,7.79
1,2010-07-16,1448938.92,False,83.15,2.62,211.1,7.79
1,2010-07-23,1385065.2,False,83.36,2.61,211.24,7.79
1,2010-07-30,1371986.6,False,81.84,2.64,211.37,7.79
1,2010-08-06,1605491.78,False,87.16,2.63,211.5,7.79
1,2010-08-13,1508237.76,False,87.0,2.69,211.64,7.79
1,2010-08-20,1513080.49,False,86.65,2.66,211.6,7.79
1,2010-08-27,1449142.92,False,85.22,2.62,211.57,7.79
1,2010-09-03,1540163.53,False,81.21,2.58,211.53,7.79
1,2010-09-10,1507460.69,True,78.69,2.56,211.5,7.79
1,2010-09-17,1430378.67,False,82.11,2.58,211.52,7.79
1,2010-09-24,1351791.03,False,80.94,2.62,211.6,7.79
1,2010-10-01,1453329.5,False,71.89,2.6,211.67,7.84
1,2010-10-08,1508239.93,False,63.93,2.63,211.75,7.84
1,2010-10-15,1459409.1,False,67.18,2.72,211.81,7.84
1,2010-10-22,1345454.0,False,69.86,2.72,211.86,7.84
1,2010-10-29,1384209.22,False,69.64,2.72,211.91,7.84
1,2010-11-05,1551659.28,False,58.74,2.69,211.96,7.84
1,2010-11-12,1494479.49,False,59.61,2.73,212.0,7.84
1,2010-11-19,1483784.18,False,51.41,2.77,211.89,7.84
1,2010-11-26,1955624.11,True,64.52,2.74,211.75,7.84
1,2010-12-03,1548033.78,False,49.27,2.71,211.61,7.84
1,2010-12-10,1682614.26,False,46.33,2.84,211.47,7.84
1,2010-12-17,1891034.93,False,49.84,2.87,211.41,7.84
1,2010-12-24,2387950.2,False,52.33,2.89,211.41,7.84
1,2010-12-31,1367320.01,True,48.43,2.94,211.4,7.84
1,2011-01-07,1444732.28,False,48.27,2.98,211.4,7.74
1,2011-01-14,1391013.96,False,35.4,2.98,211.46,7.74
1,2011-01-21,1327405.42,False,44.04,3.02,211.83,7.74
1,2011-01-28,1316899.31,False,43.83,3.01,212.2,7.74
1,2011-02-04,1606629.58,False,42.27,2.99,212.57,7.74
1,2011-02-11,1649614.93,True,36.39,3.02,212.94,7.74
1,2011-02-18,1686842.78,False,57.36,3.04,213.25,7.74
1,2011-02-25,1456800.28,False,62.9,3.06,213.54,7.74
1,2011-03-04,1636263.41,False,59.58,3.29,213.82,7.74
1,2011-03-11,1553191.63,False,53.56,3.46,214.11,7.74
1,2011-03-18,1576818.06,False,62.76,3.49,214.36,7.74
1,2011-03-25,1541102.38,False,69.97,3.47,214.6,7.74
1,2011-04-01,1495064.75,False,59.17,3.52,214.84,7.68
1,2011-04-08,1614259.35,False,67.84,3.62,215.07,7.68
1,2011-04-15,1559889.0,False,71.27,3.74,215.29,7.68
1,2011-04-22,1564819.81,False,72.99,3.81,215.46,7.68
1,2011-04-29,1455090.69,False,72.03,3.81,215.63,7.68
1,2011-05-06,1629391.28,False,64.61,3.91,215.8,7.68
1,2011-05-13,1604775.58,False,75.64,3.9,215.96,7.68
1,2011-05-20,1428218.27,False,67.63,3.91,215.73,7.68
1,2011-05-27,1466046.67,False,77.72,3.79,215.5,7.68
1,2011-06-03,1635078.41,False,83.0,3.7,215.27,7.68
1,2011-06-10,1588948.32,False,83.13,3.65,215.04,7.68
1,2011-06-17,1532114.86,False,86.41,3.64,215.0,7.68
1,2011-06-24,1438830.15,False,83.58,3.59,215.09,7.68
1,2011-07-01,1488538.09,False,85.55,3.52,215.18,7.96
1,2011-07-08,1534849.64,False,85.83,3.48,215.28,7.96
1,2011-07-15,1455119.97,False,88.54,3.58,215.36,7.96
1,2011-07-22,1396926.82,False,85.77,3.65,215.42,7.96
1,2011-07-29,1352219.79,False,86.83,3.68,215.48,7.96
1,2011-08-05,1624383.75,False,91.65,3.68,215.54,7.96
1,2011-08-12,1525147.09,False,90.76,3.64,215.61,7.96
1,2011-08-19,1530761.43,False,89.94,3.55,215.67,7.96
1,2011-08-26,1464693.46,False,87.96,3.52,215.73,7.96
1,2011-09-02,1550229.22,False,87.83,3.53,215.8,7.96
1,2011-09-09,1540471.24,True,76.0,3.55,215.86,7.96
1,2011-09-16,1514259.78,False,79.94,3.53,216.04,7.96
1,2011-09-23,1380020.27,False,75.8,3.47,216.38,7.96
1,2011-09-30,1394561.83,False,79.69,3.36,216.71,7.96
1,2011-10-07,1630989.95,False,69.31,3.28,217.05,7.87
1,2011-10-14,1493525.93,False,71.74,3.27,217.36,7.87
1,2011-10-21,1502562.78,False,63.71,3.35,217.52,7.87
1,2011-10-28,1445249.09,False,66.57,3.37,217.68,7.87
1,2011-11-04,1697229.58,False,54.98,3.33,217.84,7.87
1,2011-11-11,1594938.89,False,59.11,3.3,218.0,7.87
1,2011-11-18,1539483.7,False,62.25,3.31,218.22,7.87
1,2011-11-25,2033320.66,True,60.14,3.24,218.47,7.87
1,2011-12-02,1584083.95,False,48.91,3.17,218.71,7.87
1,2011-12-09,1799682.38,False,43.93,3.16,218.96,7.87
1,2011-12-16,1881176.67,False,51.63,3.16,219.18,7.87
1,2011-12-23,2270188.99,False,47.96,3.11,219.36,7.87
1,2011-12-30,1497462.72,True,44.55,3.13,219.54,7.87
1,2012-01-06,1550369.92,False,49.01,3.16,219.71,7.35
1,2012-01-13,1459601.17,False,48.53,3.26,219.89,7.35
1,2012-01-20,1394393.84,False,54.11,3.27,219.99,7.35
1,2012-01-27,1319325.59,False,54.26,3.29,220.08,7.35
1,2012-02-03,1636339.65,False,56.55,3.36,220.17,7.35
1,2012-02-10,1802477.43,True,48.02,3.41,220.27,7.35
1,2012-02-17,1819870.0,False,45.32,3.51,220.43,7.35
1,2012-02-24,1539387.83,False,57.25,3.56,220.64,7.35
1,2012-03-02,1688420.76,False,60.96,3.63,220.85,7.35
1,2012-03-09,1675431.16,False,58.76,3.67,221.06,7.35
1,2012-03-16,1677472.78,False,64.74,3.73,221.21,7.35
1,2012-03-23,1511068.07,False,65.93,3.79,221.29,7.35
1,2012-03-30,1649604.63,False,67.61,3.84,221.36,7.35
1,2012-04-06,1899676.88,False,70.43,3.89,221.44,7.14
1,2012-04-13,1621031.7,False,69.07,3.89,221.51,7.14
1,2012-04-20,1521577.87,False,66.76,3.88,221.56,7.14
1,2012-04-27,1468928.37,False,67.23,3.81,221.62,7.14
1,2012-05-04,1684519.99,False,75.55,3.75,221.67,7.14
1,2012-05-11,1611096.05,False,73.77,3.69,221.73,7.14
1,2012-05-18,1595901.87,False,70.33,3.63,221.74,7.14
1,2012-05-25,1555444.55,False,77.22,3.56,221.74,7.14
1,2012-06-01,1624477.58,False,77.95,3.5,221.75,7.14
1,2012-06-08,1697230.96,False,78.3,3.45,221.75,7.14
1,2012-06-15,1630607.0,False,79.35,3.39,221.76,7.14
1,2012-06-22,1527845.81,False,78.39,3.35,221.8,7.14
1,2012-06-29,1540421.49,False,84.88,3.29,221.84,7.14
1,2012-07-06,1769854.16,False,81.57,3.23,221.88,6.91
1,2012-07-13,1527014.04,False,77.12,3.26,221.92,6.91
1,2012-07-20,1497954.76,False,80.42,3.31,221.93,6.91
1,2012-07-27,1439123.71,False,82.66,3.41,221.94,6.91
1,2012-08-03,1631135.79,False,86.11,3.42,221.95,6.91
1,2012-08-10,1592409.97,False,85.05,3.49,221.96,6.91
1,2012-08-17,1597868.05,False,84.85,3.57,222.04,6.91
1,2012-08-24,1494122.38,False,77.66,3.62,222.17,6.91
1,2012-08-31,1582083.4,False,80.49,3.64,222.31,6.91
1,2012-09-07,1661767.33,True,83.96,3.73,222.44,6.91
1,2012-09-14,1517428.87,False,74.97,3.72,222.58,6.91
1,2012-09-21,1506126.06,False,69.87,3.72,222.78,6.91
1,2012-09-28,1437059.26,False,76.08,3.67,222.98,6.91
1,2012-10-05,1670785.97,False,68.55,3.62,223.18,6.57
1,2012-10-12,1573072.81,False,62.99,3.6,223.38,6.57
1,2012-10-19,1508068.77,False,67.97,3.59,223.43,6.57
1,2012-10-26,1493659.74,False,69.16,3.51,223.44,6.57
2,2010-02-05,2136989.46,False,40.19,2.57,210.75,8.32
